Creil
Chantilly - Gouvieux
Orry-la-Ville - Coye
La Borne Blanche
Survilliers - Fosses
Louvres
Les Noues
Goussainville
Villiers-le-Bel - Gonesse - Arnouville
Garges - Sarcelles
Pierrefitte - Stains
Saint-Denis
Stade de France - Saint-Denis
Gare du Nord
Chatelet-Les Halles
Gare de Lyon
Maisons-Alfort - Alfortville
Le Vert de Maisons
Créteil-Pompadour
Villeneuve-Triage
Villeneuve-Saint-Georges
Montgeron - Crosne
Yerres
Brunoy
Boussy-Saint-Antoine
Combs-la-Ville - Quincy
Lieusaint - Moissy
Savigny-le-Temple - Nandy
Cesson
Le Mée
Vigneux-sur-Seine
Juvisy
Viry-Châtillon
Ris-Orangis
Grand Bourg
Évry-Val-de-Seine
Grigny-Centre
Orangis - Bois de l'Épine
Évry-Courcouronnes
Le Bras de Fer - Évry - Génopole
Corbeil-Essonnes
Moulin-Galant
Mennecy
Ballancourt
La Ferté-Alais
Boutigny
Maisse
Buno - Gironville
Boigneville
Malesherbes
Essonnes - Robinson
Villabé
Le Plessis-Chenet
Le Coudray-Montceaux
Saint-Fargeau
Ponthierry - Pringy
Boissise-le-Roi
Vosves
Melun
