Pontoise
Saint-Ouen-l'Aumone
Saint-Ouen-l'Aumone-Liesse
Pierrelaye
Montigny - Beauchamp
Franconville - Le Plessis-Bouchard
Cernay
Ermont - Eaubonne
Saint-Gratien
Epinay-sur-Seine
Gennevilliers
Les Gresillons
Saint-Ouen
Porte de Clichy
Pereire - Levallois
Neuilly - Porte Maillot
Avenue Foch
Avenue Henri-Martin
Boulainvilliers
Avenue du President-Kennedy
Champ de Mars - Tour Eiffel
Pont de l'Alma
Invalides
Musee d'Orsay
Saint-Michel Notre-Dame
Paris-Austerlitz
Bibliotheque-François Mitterrand
Ivry-sur-Seine
Vitry-sur-Seine
Les Ardoines
Choisy-le-Roi
Villeneuve-le-Roi
Ablon
Athis-Mons
Juvisy
Savigny-sur-Orge
Epinay-sur-Orge
Sainte-Genevieve-des-Bois
Saint-Michel-sur-Orge
Bretigny
La Norville - Saint-Germain-les-Arpajon
Arpajon
Egly
Breuillet - Bruyeres-le-Chatel
Breuillet-Village
Saint-Cheron
Sermaise
Dourdan
Dourdan - La Foret
Marolles-en-Hurepoix
Bouray
Lardy
Chamarande
Etrechy
Etampes
Saint-Martin-d'Etampes
Versailles-Chantiers
Petit Jouy - Les Loges
Jouy-en-Josas
Vauboyen
Bievres
Igny
Massy-Palaiseau
Longjumeau
Chilly-Mazarin
Gravigny-Balizy
Petit Vaux
Massy-Verrieres
Chemin d'Antony
Rungis - La Fraternelle
Pont de Rungis - Aeroport d'Orly
Orly-Ville
Les Saules
Saint-Quentin-en-Yvelines
Saint-Cyr-l'Ecole
Versailles-Chantiers
Viroflay-Rive-Gauche
Chaville - Velizy
Meudon-Val-Fleury
Issy
Issy - Val de Seine
Pont du Garigliano
Javel
Versailles-Chateau-Rive-Gauche
Porchefontaine
