Pontoise
Saint-Ouen-l'Aumône
Saint-Ouen-l'Aumône-Liesse
Pierrelaye
Montigny - Beauchamp
Franconville - Le Plessis-Bouchard
Cernay
Ermont - Eaubonne
Saint-Gratien
Epinay-sur-Seine
Gennevilliers
Les Gresillons
Saint-Ouen
Porte de Clichy
Pereire - Levallois
Neuilly - Porte Maillot
Avenue Foch
Avenue Henri-Martin
Boulainvilliers
Avenue du Président-Kennedy
Champ de Mars - Tour Eiffel
Pont de l'Alma
Invalides
Musée d'Orsay
Saint-Michel - Notre-Dame
Paris-Austerlitz
Bibliothèque François-Mitterrand
Ivry-sur-Seine
Vitry-sur-Seine
Les Ardoines
Choisy-le-Roi
Villeneuve-le-Roi
Ablon
Athis-Mons
Juvisy
Savigny-sur-Orge
Épinay-sur-Orge
Sainte-Geneviève-des-Bois
Saint-Michel-sur-Orge
Brétigny
La Norville - Saint-Germain-les-Arpajon
Arpajon
Égly
Breuillet - Bruyères-le-Châtel
Breuillet-Village
Saint-Chéron
Sermaise
Dourdan
Dourdan - La Foret
Marolles-en-Hurepoix
Bouray
Lardy
Chamarande
Étréchy
Étampes
Saint-Martin-d'Etampes
Versailles-Chantiers
Petit Jouy - Les Loges
Jouy-en-Josas
Vauboyen
Bièvres
Igny
Massy-Palaiseau
Longjumeau
Chilly-Mazarin
Gravigny-Balizy
Petit Vaux
Massy-Verrières
Chemin d'Antony
Rungis - La Fraternelle
Pont de Rungis - Aéroport d'Orly
Orly-Ville
Les Saules
Saint-Quentin-en-Yvelines
Saint-Cyr-l'École
Versailles-Chantiers
Viroflay-Rive-Gauche
Chaville - Velizy
Meudon-Val-Fleury
Issy
Issy - Val de Seine
Pont du Garigliano
Javel
Versailles-Château-Rive-Gauche
Porchefontaine
